name,id
Wallace Ford,568
Max Schreck,569
Alia Bhatt,571
Riz Ahmed,572
Shahab Hosseini,573
Fionn Whitehead,574
Giuseppe Battiston,575
Taraji P. Henson,576
Ben Whishaw,577
Charlize Theron,579
Casey Affleck,581
Roland Møller,582
Felicity Jones,583
Samuel L. Jackson,585
Saoirse Ronan,586
Hugh Welchman,587
Bill Nighy,588
Bérénice Bejo,589
Toni Servillo,590
Chris Williams,593
Domhnall Gleeson,594
Sridevi,595
Hideaki Anno,596
Geoffrey Rush,598
Jared Gilman,599
Jay Baruchel,600
Takako Matsu,602
Lee Byung-Hun,603
Won Bin,606
O'Shea Jackson Jr.,607
Hye-ja Kim,608
Kim Yoon-seok,609
Ian McKellen,610
Christian Friedel,611
Michael Nyqvist,612
Eddie Redmayne,613
Asa Butterfield,617
Glen Hansard,618
Martin Freeman,619
Baki Davrak,620
Keira Knightley,621
Denzel Washington,623
Sam Worthington,624
Jared Leto,625
Gerardo Taracena,626
Valerie Faris,627
Shôgo Furuya,634
Nathan Fillion,635
Andreas Wilson,637
Gena Rowlands,638
Gael García Bernal,639
Oksana Akinshina,640
Michèle Caucheteux,641
Lee Yeong-ae,642
Jim Caviezel,643
Yun-Fat Chow,646
Cecilia Roth,647
Vicky Jenson,652
Takeshi Kitano,654
Michael Douglas,656
Emily Watson,657
Kevin Jarre,660
Tom Guiry,661
David Thewlis,663
Boyd Kirkland,666
Winona Ryder,668
Cuba Gooding Jr.,670
James Caan,671
Kirsten Dunst,673
Matthew Broderick,674
Gene Hackman,677
Bruce Campbell,679
Tom Waits,681
Sean Astin,682
Danny Glover,683
Emilio Estevez,684
Sam Waterston,685
Sam Shepard,687
Henry Thomas,689
Sean Connery,693
Barry Bostwick,695
Edward Fox,696
Liza Minnelli,698
Audrey Hepburn,701
Warren Beatty,703
Andrew Marton,706
Jeanne Moreau,707
Deborah Kerr,708
Jean-Paul Belmondo,709
Arthur Rosson,710
Teresa Wright,713
Margaret Lockwood,715
Katharine Hepburn,716
Boris Karloff,717
Groucho Marx,718
Richard Rosson,719
Colin Clive,720
