movie_id,genre_id
138,6
138,12
139,12
139,3
140,5
140,12
140,7
141,13
141,6
141,19
142,12
143,13
143,5
143,19
144,12
144,21
144,20
145,13
145,12
145,7
146,21
146,17
147,16
147,1
147,6
148,5
148,19
148,12
149,12
149,18
149,7
150,12
151,12
151,9
151,3
152,16
152,1
152,6
153,13
153,12
153,10
154,6
154,19
154,12
155,12
156,13
156,1
157,12
158,5
158,12
158,4
159,16
159,1
159,18
160,5
160,12
161,13
161,6
161,19
162,13
162,6
162,19
163,19
163,12
163,21
164,19
164,12
164,17
165,19
165,12
165,17
166,19
166,12
167,13
167,6
167,20
168,12
168,14
169,13
169,1
170,6
170,19
170,12
171,16
171,18
171,9
172,13
172,17
173,13
173,12
173,3
174,5
174,12
174,7
175,12
175,10
176,12
176,15
177,5
177,12
177,4
178,13
178,1
178,6
179,1
179,6
179,9
180,1
180,12
180,4
181,19
181,12
182,13
182,12
182,17
183,12
183,3
184,6
184,15
184,20
185,12
185,20
186,12
186,9
186,4
187,19
187,12
187,17
188,19
188,17
189,12
190,19
190,12
190,21
191,12
192,1
192,12
192,14
193,6
193,3
194,1
194,6
194,12
195,13
195,6
195,20
196,12
196,20
197,12
197,17
198,16
198,12
198,18
199,19
199,12
199,21
200,12
200,20
200,17
201,12
202,13
202,19
202,12
203,13
203,12
203,10
204,12
204,17
205,6
205,12
205,17
206,16
206,1
206,6
207,12
208,6
208,12
208,8
209,6
209,12
209,9
210,1
210,6
210,19
211,12
211,21
211,17
212,16
212,12
212,9
213,5
213,12
213,4
214,16
214,1
214,6
215,6
215,12
215,20
216,5
216,12
216,4
217,13
217,5
217,12
218,13
218,5
218,12
219,5
219,19
219,12
220,16
220,1
220,12
221,21
221,17
222,6
222,12
223,19
223,12
223,21
224,13
224,1
224,10
225,13
225,19
225,12
226,12
227,1
227,12
227,9
228,12
228,15
229,5
229,12
229,18
230,16
230,6
230,12
231,16
231,13
231,1
232,1
232,5
232,12
233,19
233,12
233,17
234,6
234,12
234,20
235,12
235,7
236,5
236,12
236,4
237,13
237,12
237,3
238,12
238,20
239,6
239,12
239,8
240,19
240,12
240,21
241,6
241,12
241,20
242,13
242,19
242,12
243,16
243,1
243,6
244,5
244,19
244,12
245,12
245,17
246,16
246,1
246,6
247,16
247,13
247,12
248,1
248,12
248,8
249,12
249,21
249,17
250,12
250,15
250,20
251,6
251,12
252,6
252,19
252,20
253,6
253,19
253,7
254,12
254,20
255,12
256,19
256,12
256,17
257,6
257,12
257,3
258,19
258,12
259,12
259,20
260,12
260,20
261,12
261,21
261,20
262,6
262,19
262,12
263,13
263,1
263,10
264,5
264,19
264,12
265,12
265,15
265,20
266,12
266,4
266,20
267,6
267,12
268,1
268,12
269,12
269,3
270,12
271,16
271,1
271,9
272,2
272,21
272,10
273,12
273,9
273,15
274,1
274,12
275,12
276,13
276,10
276,17
277,5
277,12
278,6
279,12
279,3
280,12
280,7
281,12
282,1
282,12
282,4
283,5
283,12
284,12
284,21
284,17
285,6
285,19
285,12
286,12
287,12
287,21
287,10
288,19
288,12
288,21
289,19
289,12
290,12
290,17
291,5
291,12
291,4
292,12
292,3
293,12
293,9
294,12
294,2
294,17
295,13
295,6
295,19
296,12
296,14
297,12
297,3
298,12
299,5
299,12
299,4
300,19
300,12
301,1
301,12
301,4
302,1
302,12
303,12
304,12
304,4
305,1
305,12
305,3
306,19
306,12
306,17
307,1
307,12
307,17
308,12
308,11
309,13
309,19
309,12
310,11
310,21
310,17
311,12
311,15
311,20
312,6
312,12
312,20
313,12
313,21
313,20
314,6
314,12
315,12
315,4
315,20
316,12
316,3
317,6
317,20
318,5
318,12
318,4
319,6
319,20
320,12
320,20
321,13
321,1
321,6
322,9
322,2
322,21
323,6
323,12
324,1
324,5
324,12
325,12
325,4
326,13
326,1
326,6
327,13
327,19
327,17
328,6
328,12
328,15
329,5
329,12
330,1
330,12
330,10
331,16
331,1
331,6
332,13
332,12
333,16
333,1
333,12
334,12
334,18
335,12
335,15
335,20
336,19
336,12
336,17
337,12
338,13
338,19
338,17
339,5
339,12
339,17
340,13
340,1
340,6
341,13
341,12
341,21
342,12
342,20
342,10
343,5
343,12
343,15
344,13
344,1
344,12
345,12
345,20
346,13
346,19
346,12
347,5
347,12
347,4
348,12
349,13
349,1
