movie_id,actor_id
277,277
277,277
277,428
277,412
278,278
278,278
278,278
278,278
279,16
279,279
279,417
279,279
280,280
280,280
280,280
280,678
281,281
281,83
281,281
281,969
282,282
282,282
282,114
282,282
283,283
283,283
283,283
283,283
284,18
284,281
284,284
284,284
285,282
285,285
285,418
285,285
286,286
286,176
286,286
286,185
287,287
287,287
287,287
287,287
288,288
288,288
288,288
288,288
289,113
289,289
289,289
289,289
290,290
290,176
290,290
290,186
291,291
291,291
291,291
291,291
292,292
292,292
292,292
292,292
293,293
293,293
293,293
293,293
294,191
294,294
294,294
294,294
295,32
295,31
295,295
295,295
296,33
296,437
296,50
296,857
297,297
297,297
297,297
297,297
298,186
298,298
298,298
298,298
299,183
299,299
299,121
299,299
300,300
300,300
300,300
300,300
301,301
301,301
301,301
301,301
302,32
302,302
302,304
302,302
303,303
303,288
303,303
303,303
304,32
304,304
304,304
304,122
305,83
305,870
305,301
305,305
306,2
306,306
306,5
306,991
307,307
307,307
307,307
307,307
308,81
308,308
308,308
308,308
309,309
309,309
309,309
309,309
310,125
310,125
310,867
310,453
311,311
311,311
311,311
311,865
312,312
312,33
312,312
312,312
313,313
313,313
313,191
313,313
314,33
314,314
314,877
314,314
315,315
315,315
315,317
315,448
316,316
316,316
316,316
316,83
317,317
317,317
317,317
317,317
318,318
318,318
318,318
318,318
319,52
319,319
319,319
319,319
320,320
320,320
320,320
320,320
321,195
321,195
321,321
321,321
322,322
322,322
322,322
322,322
323,87
323,323
323,323
323,58
324,324
324,324
324,324
324,324
325,161
325,325
325,325
325,325
326,326
326,326
326,141
326,491
327,161
327,327
327,135
327,197
328,328
328,348
328,328
328,35
329,329
329,381
329,604
329,329
330,218
330,330
330,330
330,330
331,331
331,331
331,331
331,331
332,135
332,135
332,332
332,332
333,333
333,671
333,333
333,799
334,334
334,744
334,334
334,796
335,335
335,335
335,335
335,335
336,161
336,225
336,141
336,225
337,204
337,337
337,337
337,337
338,338
338,338
338,338
338,338
339,339
339,621
339,339
339,339
340,340
340,340
340,753
340,624
341,73
341,328
341,341
341,888
342,34
342,477
342,930
342,604
343,343
343,343
343,343
343,343
344,9
344,145
344,344
344,594
345,345
345,227
345,345
345,345
346,346
346,346
346,357
