name,id
Charles Vidor,875
James Algar,876
Todd Haynes,878
Aneesh Chaganty,879
Sean Baker,882
Tyler Nilson,885
Sebastian Schipper,886
Deniz Gamze Ergüven,887
Joseph Kosinski,890
Ryan Coogler,895
David Mackenzie,897
Stephen Frears,898
Matt Reeves,899
David Ayer,902
Hiromasa Yonebayashi,903
Bradley Cooper,904
Pierre Coffin,907
Jonathan Levine,908
Daniel Monzón,910
Bennett Miller,911
Ruben Fleischer,913
Dennis Gansel,914
John Lee Hancock,916
David Cronenberg,919
Olivier Dahan,924
Ronny Yu,925
Neil Burger,926
Zack Snyder,929
James Wan,933
Charlie Kaufman,934
Gregg Araki,935
Yann Samuell,936
Marc Forster,941
Eric Bress,943
Kinji Fukasaku,945
Chris Columbus,948
Ted Demme,950
Mary Harron,954
Tom Tykwer,955
Tony Bancroft,957
Alex Proyas,960
Joel Schumacher,969
Jonathan Lynn,971
Marc Caro,973
David Zucker,978
Mark Rydell,982
Walter Hill,984
James Frawley,985
Martin Rosen,987
Wolfgang Reitherman,993
Richard Lester,995
Blake Edwards,996
George Stevens,997
